expid,Temperature,pH,Time,Viabilty,
TempOnly,37,7,20,1.044,
TempOnly,37,7,40,0.956,
TempOnly,43,7,20,1.066,
TempOnly,43,7,40,0.741,
TempOnly,47,7,20,0.627,
TempOnly,47,7,40,0.045,
TempOnly,50,7,20,0.61,
TempOnly,50,7,40,0.001,
pHOnly,37,7,15,0.995,consider removing this for better comparison
pHOnly,37,7,30,1.005,consider removing this for better comparison
pHOnly,37,7,15,0.607,"this is with PBS instead, could be better to scale based on this"
pHOnly,37,6.75,15,0.802,
pHOnly,37,6.5,15,0.79,
pHOnly,37,6.25,15,0.592,
pHOnly,37,6,15,0.777,
pHOnly,37,7,30,0.712,
pHOnly,37,6.75,30,0.72,
pHOnly,37,6.5,30,0.808,
pHOnly,37,6.25,30,0.778,
pHOnly,37,6,30,0.797,
pHOnly,37,7,45,0.796,
pHOnly,37,6.75,45,0.725,
pHOnly,37,6.5,45,0.849,
pHOnly,37,6.25,45,0.91,
pHOnly,37,6,45,0.89,
pHOnly,37,7,15,0.996,consider removing this for better comparison
pHOnly,37,7,30,1.004,consider removing this for better comparison
pHOnly,37,7,15,0.829,
pHOnly,37,6.75,15,0.89,
pHOnly,37,6.5,15,0.905,
pHOnly,37,6.25,15,0.93,
pHOnly,37,6,15,0.812,
pHOnly,37,7,30,0.681,
pHOnly,37,6.75,30,0.634,
pHOnly,37,6.5,30,0.679,
pHOnly,37,6.25,30,0.936,
pHOnly,37,6,30,0.899,
combined,37,7,20,0.835,
combined,37,7,40,1.165,
combined,45,7,20,0.669,
combined,45,6.75,20,0.875,
combined,45,6.5,20,0.359,
combined,45,6.25,20,0.303,
combined,45,6,20,0.229,
combined,45,7,40,0.467,
combined,45,6.75,40,0.26,
combined,45,6.5,40,0.206,
combined,45,6.25,40,0.099,
combined,45,6,40,0.174,
combined,37,7,20,1.011,
combined,37,7,40,0.989,
combined,45,7,20,0.321,
combined,45,6.75,20,0.299,
combined,45,6.5,20,0.365,
combined,45,6.25,20,0.372,
combined,45,6,20,0.388,
combined,45,7,40,0.267,
combined,45,6.75,40,0.266,
combined,45,6.5,40,0.345,
combined,45,6.25,40,0.262,
combined,45,6,40,0.21,
